{0: -0.11794821814940293, 1: -0.661312331657987, 2: 0.274146532973613, 3: -0.20280258930612471, 4: 0.2851566357961304}
{0: 0.19387564398962187, 1: -0.3174942033719268, 2: -0.10247817754927357, 3: 0.7804155743589367, 4: 0.09942584759424578}
{0: 0.3456511050389617, 1: 0.38488821646409455, 2: -0.2176377486717911, 3: 0.12493096155757888, 4: 0.01605414826541396}
{0: 0.17265351344650015, 1: 0.5689663952480846, 2: 0.34620106489566105, 3: -0.3276757164499595, 4: -0.05458004233266478}
{0: 0.7856904740280011, 1: -0.5215774944254048, 2: -0.48880820665581415, 3: -0.6748065022569851, 4: -0.273849410610695}
{0: -0.06173438606359505, 1: 0.3592424221298822, 2: 0.3772623710683063, 3: 0.0031625299469690837, 4: -0.021624506253202114}
{0: 0.14744221700100857, 1: -0.4972984925307615, 2: 0.24700102092643017, 3: 0.25704847781904805, 4: 0.4209281284072459}
{0: -0.027353820796455874, 1: -0.07446703796910947, 2: 0.6851658479724687, 3: -0.04670892029102647, 4: -0.31107284639749366}
{0: 0.23416369403940274, 1: -0.547162231612832, 2: -0.5866781199661371, 3: 0.8191812520600761, 4: 0.13021658973622574}
{0: 0.06524726666453495, 1: -0.4827094315618301, 2: -0.5613578265713666, 3: 0.48821747573946506, 4: -0.42952321764089585}
{0: 0.7248849992348139, 1: -0.38186144473775996, 2: -0.34255906919749046, 3: -0.4758687440132623, 4: -0.14572803569269932}
{0: 0.427792458109006, 1: -0.38081040054129955, 2: 0.41806187634524816, 3: -0.4292169627950546, 4: -0.12896498340650409}
{0: 0.48855029621320245, 1: 0.15599354945743116, 2: -0.17675688441554627, 3: -0.44852355656700116, 4: 0.023884381808161548}
{0: 0.7788303809921044, 1: -0.0243276901315419, 2: -0.22030171326792014, 3: 0.14712627295970648, 4: -0.3565038401326168}
{0: 0.19634121646498004, 1: 0.19975198502341351, 2: 0.3450074629399589, 3: -0.062392613340711556, 4: 0.43234173751478533}
{0: 0.14825603157521727, 1: 0.6677030616564881, 2: 0.745744348636797, 3: -0.17422821113005127, 4: -0.03289851363831531}
{0: 0.15281240067116975, 1: 0.11058458362322487, 2: -0.6409962006876826, 3: 0.4368847991298017, 4: 0.6766985562872421}
{0: 0.41624271742212704, 1: 0.16658046501071788, 2: -0.14505007681504645, 3: 0.7253876746062262, 4: 0.04090263211793732}
{0: 0.4532548624645294, 1: -0.36817208040759497, 2: 0.5142446642120841, 3: -0.22724690202061604, 4: -0.33495497913850136}
{0: 0.3233842136949603, 1: 0.3451686145925126, 2: 0.7525050933698676, 3: 0.14515005975259987, 4: -0.2710699391870346}
{0: 0.030004728858861185, 1: -0.04768495713035148, 2: -0.09105415102716674, 3: -0.5394149912377848, 4: 0.524654758539961}
{0: 0.3484372838050138, 1: 0.09704081937519637, 2: 0.2760569649439728, 3: 0.608784084860855, 4: 0.659232667436654}
{0: 0.008117742639816239, 1: 0.3519479388082971, 2: -0.006317841029731985, 3: -0.2441439197193891, 4: 0.5375238470017936}
{0: 0.3194537381696978, 1: 0.4158838061680499, 2: -0.3840978268438908, 3: 0.15113885435621288, 4: 0.21135876123142183}
{0: 0.5885169659022849, 1: -0.5161443583224572, 2: 0.6370911750937283, 3: 0.9740767259149399, 4: 0.8425265837335758}
{0: 0.2445430574477523, 1: -0.27579673225792667, 2: -0.09603814644042674, 3: -0.323874546763004, 4: -0.3092515375857239}
{0: 0.962444310712353, 1: -0.14096211123042313, 2: -0.15479872718716137, 3: 0.24541380275763336, 4: 0.8453465339749417}
{0: 0.803193424450543, 1: 0.44737662486642993, 2: -0.5772884616903116, 3: 0.7921056031244575, 4: 0.9917422749874556}
{0: 0.7631026935984804, 1: 0.5041771792127667, 2: 0.4834661408072567, 3: 0.37990485168633303, 4: 0.07032528875268818}
{0: 0.2792471253849764, 1: 0.4888002238297753, 2: 0.22964980941399205, 3: -0.6124989507124841, 4: 0.4584019476405361}
{0: 0.6197807374243107, 1: -0.3566606830436214, 2: -0.6863837371810411, 3: -0.5995619014336346, 4: 0.45202599105033014}
{0: -0.042984233353916323, 1: -0.11457070167670103, 2: 0.6592008496231614, 3: 0.3889799124890301, 4: 0.1398320776412696}
{0: 0.27726509432042357, 1: 0.25665522163254084, 2: 0.21727417693724904, 3: 0.4518454686238065, 4: -0.4112358107255285}
{0: 0.7989142278262515, 1: -0.49585943349364703, 2: 0.20125696988638975, 3: 0.7931597458434816, 4: -0.23081141488337775}
{0: 0.35418146668554074, 1: 0.3474998060211605, 2: 0.5086697071192656, 3: -0.45614923788543615, 4: 0.522437898461823}
{0: -0.2002530467977668, 1: 0.48545994198186726, 2: -0.4483549510418865, 3: 0.38465782203438237, 4: 0.04635560821716744}
{0: 0.18265659996830097, 1: 0.19945983526116917, 2: -0.06765396834768289, 3: 0.976445263892789, 4: -0.2827868034251857}
{0: 0.13203847705371308, 1: -0.2752912603111728, 2: 0.4739478567451674, 3: 0.1032153786204062, 4: 0.30300039829923153}
{0: 0.38449330604961784, 1: -0.14271765546732218, 2: 0.5335835916366829, 3: 0.0069394028024489796, 4: 0.19104566031279457}
{0: 0.9248881183315123, 1: -0.3196065293656263, 2: -0.33910802550652575, 3: 0.5223726509456377, 4: 0.25756281603001363}
{0: 0.12900203511946828, 1: 0.18902675471929742, 2: 0.23389047976900357, 3: 0.8260615885868152, 4: -0.34113054235751306}
{0: 0.2882831100599006, 1: -0.330724032610054, 2: 0.3091551360879614, 3: 0.9536187363991333, 4: 0.3160640823391918}
{0: 0.9208850782357754, 1: -0.5692520196898139, 2: -0.4122481875969166, 3: 0.5525707726328415, 4: -0.3946055637574317}
{0: 0.24597953806069817, 1: -0.22999436116752014, 2: 0.3083857632955125, 3: 0.6935197369657122, 4: -0.042745037453635115}
{0: -0.14126545811836055, 1: -0.5326577895844555, 2: -0.39409884385176763, 3: -0.5616191660634882, 4: 0.23064317190017114}
{0: 0.2760926183761321, 1: -0.1565817398319007, 2: -0.3398768795702216, 3: 0.08181845448263769, 4: 0.8877163578979321}
{0: 0.46785800494180285, 1: 0.2227068736408786, 2: -0.21947591253349996, 3: 0.4898416960168115, 4: -0.3767957470261847}
{0: 0.694585723483806, 1: -0.5532229524802752, 2: 0.19827465190727178, 3: -0.036023582372849416, 4: 0.05717474577055692}
{0: 0.8892303457531394, 1: -0.4237643892561491, 2: 0.14538960371388976, 3: 0.10313877407302763, 4: 0.25767359525725264}
{0: 0.43023833790995325, 1: 0.32364382866114316, 2: 0.10606544927508788, 3: 0.10047815072973498, 4: -0.6564606112262754}
{0: -0.127439719540265, 1: 0.4417473066467734, 2: -0.3743982995548787, 3: 0.2002944707664307, 4: -0.29643032594193675}
{0: 0.34295278971719023, 1: -0.5005028891546099, 2: 0.5461165320522376, 3: -0.4956176168051125, 4: 0.329949509665048}
{0: 0.05828146678273782, 1: 0.399379403115808, 2: 0.046867820403609484, 3: 0.3598230957790436, 4: -0.30801162408046223}
{0: 0.3513783256566436, 1: -0.4030591612751515, 2: 0.1614997879514235, 3: 0.2553810827753291, 4: 0.0031841315337730602}
{0: 0.6213702286074119, 1: -0.7654845973375628, 2: 0.0696319586657157, 3: 0.7327361091672091, 4: 0.21146642278652772}
{0: 0.1112269099671046, 1: 0.08802588455315807, 2: -0.6761811730670795, 3: -0.1761788275544538, 4: 0.5939445685479219}
{0: 0.7879715279934605, 1: 0.4421157626216845, 2: 0.5406315242131112, 3: 0.24363209382923157, 4: 0.24168563395427145}
{0: 0.5543887110787571, 1: 0.5057449226346624, 2: -0.3580291383948384, 3: 0.20319361273714676, 4: 0.7207337599906547}
{0: 0.5961260984659817, 1: 0.6035984480231149, 2: 0.7175546058289362, 3: -0.4186302404454285, 4: 0.2690938629379589}
{0: -0.024633382977995666, 1: -0.22883213918798706, 2: -0.452229738845247, 3: 0.16290325721261967, 4: 0.17833829133165646}
{0: 0.43713144880285393, 1: -0.6053000361470291, 2: -0.8909124480118749, 3: 0.22998576448817354, 4: -0.5079714997220499}
{0: 0.23245809864347278, 1: 0.42932890878439545, 2: 0.116818697680098, 3: -0.2977611725182845, 4: -0.0871551945093545}
{0: 0.05193056881232194, 1: 0.3843773068326888, 2: -0.03766661985482811, 3: 0.07265826106361328, 4: 0.12114880316952514}
{0: 0.815304191918363, 1: -0.5363713356235538, 2: 0.34522251325730857, 3: 0.29213530476482386, 4: 0.08408229679154888}
{0: 0.8977061557540118, 1: -0.47157763502889405, 2: 0.48028370205257165, 3: -0.6698196667268774, 4: 0.6545079260258677}
{0: 0.46984347088508205, 1: 0.4372926187755477, 2: -0.3945690827261086, 3: -0.08964138272811217, 4: 0.18377502686016656}
{0: 0.8126047382793222, 1: -0.22081806390009362, 2: 0.29830556540436626, 3: 0.4294397957716416, 4: 0.2876355397333339}
